tanggal,provinsi,komoditas,harga,harga_nasional,gap_dari_nasional,gap_pct,perubahan_harian,rolling_7d,rolling_30d,volatilitas_7d,tahun,bulan,minggu,hari,status_pasokan
2026-01-01,Aceh,Cabai Merah Keriting,30000.0,49296.969696969696,-19296.969696969696,-39.14,,30000.0,30000.0,,2026,1,1,3,SURPLUS
2026-01-02,Aceh,Cabai Merah Keriting,32000.0,49380.30303030303,-17380.303030303032,-35.2,2000.0,31000.0,31000.0,1414.213562373095,2026,1,1,4,SURPLUS
2026-01-05,Aceh,Cabai Merah Keriting,31750.0,48063.63636363636,-16313.63636363636,-33.94,-250.0,31250.0,31250.0,1089.7247358851685,2026,1,2,0,SURPLUS
2026-01-06,Aceh,Cabai Merah Keriting,31750.0,47307.57575757576,-15557.57575757576,-32.89,0.0,31375.0,31375.0,924.211375534118,2026,1,2,1,SURPLUS
2026-01-07,Aceh,Cabai Merah Keriting,29900.0,46007.57575757576,-16107.57575757576,-35.01,-1850.0,31080.0,31080.0,1037.1836867209202,2026,1,2,2,SURPLUS
2026-01-08,Aceh,Cabai Merah Keriting,29600.0,44760.606060606064,-15160.606060606064,-33.87,-300.0,30833.333333333332,30833.333333333332,1107.098309395632,2026,1,2,3,SURPLUS
2026-01-09,Aceh,Cabai Merah Keriting,29850.0,43928.78787878788,-14078.78787878788,-32.05,250.0,30692.85714285714,30692.85714285714,1076.8118728560755,2026,1,2,4,SURPLUS
2026-01-12,Aceh,Cabai Merah Keriting,28650.0,42260.606060606064,-13610.606060606064,-32.21,-1200.0,30500.0,30437.5,1315.928062876792,2026,1,3,0,SURPLUS
2026-01-13,Aceh,Cabai Merah Keriting,27250.0,41421.21212121212,-14171.21212121212,-34.21,-1400.0,29821.428571428572,30083.333333333332,1606.2007820882643,2026,1,3,1,SURPLUS
2026-01-14,Aceh,Cabai Merah Keriting,26400.0,41259.09090909091,-14859.090909090912,-36.01,-850.0,29057.14285714286,29715.0,1797.087590943694,2026,1,3,2,SURPLUS
2026-01-15,Aceh,Cabai Merah Keriting,27000.0,40803.030303030304,-13803.030303030304,-33.83,600.0,28378.571428571428,29468.18181818182,1479.5430439996069,2026,1,3,3,SURPLUS
2026-01-16,Aceh,Cabai Merah Keriting,26600.0,40739.393939393936,-14139.393939393936,-34.71,-400.0,27907.14285714286,29229.166666666668,1439.163116603008,2026,1,3,4,SURPLUS
2026-01-19,Aceh,Cabai Merah Keriting,26900.0,40203.030303030304,-13303.030303030304,-33.09,300.0,27521.428571428572,29050.0,1260.5743211122565,2026,1,4,0,SURPLUS
2026-01-20,Aceh,Cabai Merah Keriting,26900.0,39850.0,-12950.0,-32.5,0.0,27100.0,28896.428571428572,736.5459931328178,2026,1,4,1,SURPLUS
2026-01-21,Aceh,Cabai Merah Keriting,26350.0,39424.242424242424,-13074.242424242424,-33.16,-550.0,26771.428571428572,28726.666666666668,331.48295941264354,2026,1,4,2,SURPLUS
2026-01-22,Aceh,Cabai Merah Keriting,26350.0,39283.333333333336,-12933.333333333336,-32.92,0.0,26642.85714285714,28578.125,286.397991480078,2026,1,4,3,SURPLUS
2026-01-23,Aceh,Cabai Merah Keriting,26600.0,39050.0,-12450.0,-31.88,250.0,26671.428571428572,28461.764705882353,267.48386689225197,2026,1,4,4,SURPLUS
2026-01-26,Aceh,Cabai Merah Keriting,26600.0,39381.818181818184,-12781.818181818184,-32.46,0.0,26614.285714285714,28358.333333333332,224.93385271063937,2026,1,5,0,SURPLUS
