tanggal,provinsi,komoditas,harga,harga_nasional,gap_dari_nasional,gap_pct,perubahan_harian,rolling_7d,rolling_30d,volatilitas_7d,tahun,bulan,minggu,hari,status_pasokan
2026-01-01,Aceh,Beras Medium I,14650.0,15869.69696969697,-1219.69696969697,-7.69,,14650.0,14650.0,,2026,1,1,3,SURPLUS
2026-01-02,Aceh,Beras Medium I,14650.0,15854.545454545454,-1204.545454545454,-7.6,0.0,14650.0,14650.0,0.0,2026,1,1,4,SURPLUS
2026-01-05,Aceh,Beras Medium I,14650.0,15843.939393939394,-1193.939393939394,-7.54,0.0,14650.0,14650.0,0.0,2026,1,2,0,SURPLUS
2026-01-06,Aceh,Beras Medium I,14650.0,15857.575757575758,-1207.575757575758,-7.62,0.0,14650.0,14650.0,0.0,2026,1,2,1,SURPLUS
2026-01-07,Aceh,Beras Medium I,14650.0,15854.545454545454,-1204.545454545454,-7.6,0.0,14650.0,14650.0,0.0,2026,1,2,2,SURPLUS
2026-01-08,Aceh,Beras Medium I,14650.0,15859.09090909091,-1209.09090909091,-7.62,0.0,14650.0,14650.0,0.0,2026,1,2,3,SURPLUS
2026-01-09,Aceh,Beras Medium I,14650.0,15860.60606060606,-1210.60606060606,-7.63,0.0,14650.0,14650.0,0.0,2026,1,2,4,SURPLUS
2026-01-12,Aceh,Beras Medium I,14650.0,15848.484848484848,-1198.484848484848,-7.56,0.0,14650.0,14650.0,0.0,2026,1,3,0,SURPLUS
2026-01-13,Aceh,Beras Medium I,14650.0,15846.969696969696,-1196.969696969696,-7.55,0.0,14650.0,14650.0,0.0,2026,1,3,1,SURPLUS
2026-01-14,Aceh,Beras Medium I,14650.0,15848.484848484848,-1198.484848484848,-7.56,0.0,14650.0,14650.0,0.0,2026,1,3,2,SURPLUS
2026-01-15,Aceh,Beras Medium I,14650.0,15843.939393939394,-1193.939393939394,-7.54,0.0,14650.0,14650.0,0.0,2026,1,3,3,SURPLUS
2026-01-16,Aceh,Beras Medium I,14650.0,15837.878787878788,-1187.878787878788,-7.5,0.0,14650.0,14650.0,0.0,2026,1,3,4,SURPLUS
2026-01-19,Aceh,Beras Medium I,14650.0,15836.363636363636,-1186.363636363636,-7.49,0.0,14650.0,14650.0,0.0,2026,1,4,0,SURPLUS
2026-01-20,Aceh,Beras Medium I,14650.0,15836.363636363636,-1186.363636363636,-7.49,0.0,14650.0,14650.0,0.0,2026,1,4,1,SURPLUS
2026-01-21,Aceh,Beras Medium I,14650.0,15834.848484848484,-1184.848484848484,-7.48,0.0,14650.0,14650.0,0.0,2026,1,4,2,SURPLUS
2026-01-22,Aceh,Beras Medium I,14650.0,15834.848484848484,-1184.848484848484,-7.48,0.0,14650.0,14650.0,0.0,2026,1,4,3,SURPLUS
2026-01-23,Aceh,Beras Medium I,14650.0,15845.454545454546,-1195.454545454546,-7.54,0.0,14650.0,14650.0,0.0,2026,1,4,4,SURPLUS
2026-01-26,Aceh,Beras Medium I,14650.0,15843.939393939394,-1193.939393939394,-7.54,0.0,14650.0,14650.0,0.0,2026,1,5,0,SURPLUS
2026-01-27,Aceh,Beras Medium I,14750.0,15846.969696969696,-1096.969696969696,-6.92,100.0,14664.285714285714,14655.263157894737,37.796447300922836,2026,1,5,1,SURPLUS
2026-01-28,Aceh,Beras Medium I,14750.0,15850.0,-1100.0,-6.94,0.0,14678.57142857143,14660.0,48.795003647427,2026,1,5,2,SURPLUS
2026-01-29,Aceh,Beras Medium I,14750.0,15850.0,-1100.0,-6.94,0.0,14692.857142857143,14664.285714285714,53.45224838248557,2026,1,5,3,SURPLUS
2026-01-30,Aceh,Beras Medium I,15000.0,15868.181818181818,-868.181818181818,-5.47,250.0,14742.857142857143,14679.545454545454,123.92393980641154,2026,1,5,4,SURPLUS
2026-02-02,Aceh,Beras Medium I,15250.0,15872.727272727272,-622.7272727272721,-3.92,250.0,14828.57142857143,14704.347826086956,219.57751641342102,2026,2,6,0,NORMAL
2026-02-03,Aceh,Beras Medium I,15250.0,15865.151515151516,-615.1515151515159,-3.88,0.0,14914.285714285714,14727.083333333334,252.84100029182784,2026,2,6,1,NORMAL
2026-02-04,Aceh,Beras Medium I,15250.0,15880.30303030303,-630.30303030303,-3.97,0.0,15000.0,14748.0,250.00000000000173,2026,2,6,2,NORMAL
2026-02-05,Aceh,Beras Medium I,15250.0,15868.181818181818,-618.181818181818,-3.9,0.0,15071.42857142857,14767.307692307691,237.79743280283805,2026,2,6,3,NORMAL
2026-02-06,Aceh,Beras Medium I,15250.0,15866.666666666666,-616.6666666666661,-3.89,0.0,15142.857142857143,14785.185185185184,196.69894811736515,2026,2,6,4,NORMAL
2026-02-09,Aceh,Beras Medium I,15250.0,15869.69696969697,-619.69696969697,-3.9,0.0,15214.285714285714,14801.785714285714,94.49111825231927,2026,2,7,0,NORMAL
2026-02-10,Aceh,Beras Medium I,15250.0,15869.69696969697,-619.69696969697,-3.9,0.0,15250.0,14817.241379310344,5.217682251064135e-05,2026,2,7,1,NORMAL
2026-02-11,Aceh,Beras Medium I,15250.0,15866.666666666666,-616.6666666666661,-3.89,0.0,15250.0,14831.666666666666,5.217682251064135e-05,2026,2,7,2,NORMAL
2026-02-12,Aceh,Beras Medium I,15250.0,15874.242424242424,-624.242424242424,-3.93,0.0,15250.0,14851.666666666666,5.217682251064135e-05,2026,2,7,3,NORMAL
